timestamp,signal,lot,sl_price,tp_price,open_price,close_price,result,pnl,equity
2026-02-24 04:29:08,SELL,0.03,5186.05,5146.05,5171.05,5172.313,EARLY_EXIT,-4.98,45.12
2026-02-24 04:30:03,SELL,0.03,5186.05,5146.05,5171.05,5171.833,LOSS,-4.8,45.12
2026-02-24 04:40:09,SELL,0.03,5181.821,5141.821,5166.821,5169.115,EARLY_EXIT,-8.07,36.91
2026-02-24 04:41:04,SELL,0.03,5181.821,5141.821,5166.821,5169.089,LOSS,-8.7,36.91
2026-02-24 06:02:02,SELL,0.03,5184.206,5180.206,5182.206,5179.016,WIN,0.57,26.0
2026-02-24 07:05:01,SELL,0.04,5171.917,5168.417,5170.223,5170.429,LOSS,-1.36,19.22
2026-02-25 05:28:04,BUY,0.03,5190.69,5194.19,5192.19,5194.091,WIN,1.58,26.0
2026-02-25 05:33:00,BUY,0.04,5197.708,5201.208,5199.159,5198.983,LOSS,-1.86,20.19
2026-02-25 05:43:01,BUY,0.03,5196.327,5199.827,5198.169,5199.775,WIN,3.71,25.16
2026-02-25 05:46:06,BUY,0.03,5201.641,5205.141,5202.459,5202.751,EARLY_EXIT,0.87,26.03
2026-02-25 05:47:01,BUY,0.03,5201.641,5205.141,5202.459,5203.448,WIN,0.57,26.03
2026-02-25 07:44:06,BUY,0.03,5185.543,5189.043,5187.327,5187.033,EARLY_EXIT,-0.88,19.75
2026-02-25 07:45:01,BUY,0.03,5185.543,5189.043,5187.327,5186.292,LOSS,-0.55,19.75
2026-02-25 07:59:02,BUY,0.03,5184.774,5188.274,5186.273999999999,5183.834,LOSS,-1.91,15.25
2026-02-25 10:25:03,SELL,0.03,5179.105,5175.605,5176.561,5174.943,LOSS,-1.69,19.91
2026-02-25 10:48:05,SELL,0.04,5178.662,5175.162,5177.162,5174.41,WIN,2.73,34.14
2026-02-25 11:06:02,SELL,0.03,5173.543,5170.043,5172.043,5174.553,WIN,1.75,20.4
2026-02-25 11:11:02,SELL,0.03,5171.768,5168.268,5170.427,5166.023,WIN,1.24,31.76
2026-02-25 11:55:01,SELL,0.03,5174.309,5170.809,5172.809,5174.304,WIN,0.19,7.1
2026-02-25 12:34:03,SELL,0.03,5186.053,5182.553,5184.553,5181.036,WIN,3.14,26.32
2026-02-25 12:36:03,SELL,0.04,5182.612,5179.112,5181.1990000000005,5178.968,WIN,5.63,34.67
2026-02-25 12:49:10,SELL,0.05,5185.914,5182.314,5184.314,5184.734,EARLY_EXIT,-3.42,31.25
2026-02-25 12:50:00,SELL,0.05,5185.914,5182.314,5184.314,5181.862,LOSS,-3.2,31.25
2026-02-25 12:52:00,SELL,0.04,5183.362,5179.862,5181.974,5182.912,LOSS,-3.5,25.7
2026-02-25 12:56:01,SELL,0.03,5183.114,5179.614,5181.514,5179.025,LOSS,-2.86,31.4
2026-02-25 12:58:01,SELL,0.04,5180.525,5177.025,5179.025000000001,5180.158,LOSS,-2.06,25.4
2026-02-25 13:19:09,BUY,0.03,5186.762,5190.262,5188.262,5187.197,EARLY_EXIT,-3.2,17.79
2026-02-25 13:20:04,BUY,0.03,5186.762,5190.262,5188.262,5186.064,LOSS,-3.1,17.79
2026-02-25 13:26:10,BUY,0.03,5188.96,5192.46,5190.451,5190.108,EARLY_EXIT,-1.03,9.0
2026-02-25 13:27:00,BUY,0.03,5188.96,5192.46,5190.451,5188.408,LOSS,-0.76,9.0
2026-02-25 13:34:07,BUY,0.03,5187.147,5190.647,5188.647,5188.689,EARLY_EXIT,0.13,8.67
2026-02-25 13:35:02,BUY,0.03,5187.147,5190.647,5188.647,5188.385,LOSS,-2.93,8.67
2026-02-25 13:38:02,BUY,0.03,5188.558,5192.058,5190.058,5188.872,LOSS,-3.16,4.17
2026-02-25 14:24:18,BUY,0.03,5188.681,5192.181,5190.242,5181.596,WIN,1.06,20.0
2026-02-25 14:29:03,BUY,0.03,5180.65,5184.15,5182.15,5175.359,LOSS,-2.14,15.5
2026-02-25 14:35:03,BUY,0.03,5178.101,5181.601,5179.601,5175.291,WIN,4.04,11.0
2026-02-25 15:00:04,SELL,0.03,5191.893,5188.393,5190.393,5191.455,LOSS,-0.52,2.0
2026-02-26 05:53:02,BUY,0.03,5192.331,5195.831,5193.831,5195.164,WIN,0.71,26.28
2026-02-26 06:01:08,BUY,0.04,5195.221,5198.721,5196.721,5197.419,EARLY_EXIT,2.8,29.08
2026-02-26 06:02:03,BUY,0.04,5195.221,5198.721,5196.721,5199.063,WIN,3.9,29.08
2026-02-26 07:14:05,BUY,0.03,5184.687,5188.187,5186.187,5185.169,EARLY_EXIT,-3.05,15.23
2026-02-26 07:15:00,BUY,0.03,5184.687,5188.187,5186.187,5187.329,LOSS,-2.39,15.23
2026-02-26 07:28:02,BUY,0.03,5185.936,5189.436,5187.436,5185.734,LOSS,-2.43,1.73
2026-02-26 07:48:03,SELL,0.03,5188.417,5184.917,5186.917,5184.802,WIN,3.84,7.73
2026-02-26 07:51:04,SELL,0.03,5185.188,5181.688,5183.688,5180.855,WIN,2.15,13.73
2026-02-26 07:54:04,SELL,0.03,5182.355,5178.855,5180.8550000000005,5183.658,LOSS,-2.54,9.23
2026-02-26 08:10:01,SELL,0.03,5183.009,5179.509,5181.509,5183.962,LOSS,-5.35,11.35
2026-02-26 08:20:02,SELL,0.03,5187.588,5184.088,5186.088,5187.002,LOSS,-1.64,6.85
2026-02-26 08:30:03,SELL,0.03,5179.367,5175.867,5177.867,5176.085,WIN,1.3,26.0
